abandon	(v) bo,tu bo
ability	(n) kha nang, nang luc
able	(adj ) co nang luc, co tai
about	(adv) (prep) khoang ve
above	(adv) o tren
abroad	(adv) o, ra nuoc ngoai, o ngoai troi
absence	(n) su vang mat
absent	(adj) vang mat, nghi
absolute	(adj) tuyet doi, hoan toan
absolutely	(adv) tuyet doi, hoan toan
absorb	(v) thu hut hap thu loi cuon
abuse	(n) (v) long hanh, lam dung
academic	(adj) thuoc hoc vien, han lam
accent	(n) trong am dau trong am
accept	(v) chap nhan, chap thuan
hi	hello
